ID	adj.P.Val	P.Value	t	B	logFC	miRNA_ID	SPOT_ID	SPOT_ID.1
A_25_P00015610	0.0029377	7.19E-04	-3.6629	-0.52605	-2.8331	hsa-miR-4311		
A_25_P00018328	0.0029377	7.24E-04	-3.6608	-0.53171	-2.8358	hsa-miR-5088-5p		
A_25_P00013525	0.0029377	7.40E-04	-3.6532	-0.55201	-2.881	hsa-miR-374a-3p		
A_25_P00012393	0.0029377	7.41E-04	-3.6526	-0.55338	-2.8463	hsa-miR-338-5p		
A_25_P00012275	0.0029377	7.56E-04	3.6459	-0.57128	3.0436	hsa-miR-29c-3p		
A_25_P00018213	0.0029377	7.56E-04	-3.6456	-0.57197	-2.8551	hsa-miR-6884-5p		
A_25_P00016617	0.0029377	7.57E-04	-3.6452	-0.57303	-2.8556	hsa-miR-4440		
A_25_P00017783	0.0029377	7.71E-04	-3.6391	-0.58931	-2.8632	hsa-miR-6130		
A_25_P00018048	0.0029377	7.73E-04	-3.6384	-0.59123	-2.8641	hsa-miR-7114-5p		
A_25_P00017500	0.0029377	7.77E-04	-3.6366	-0.59596	-2.8662	hsa-miR-5194		
A_25_P00011025	0.0029377	7.84E-04	-3.6332	-0.60496	-2.8703	hsa-miR-610		
A_25_P00016024	0.0029377	8.01E-04	-3.6259	-0.62414	-2.879	hsa-miR-3689a-3p		
A_25_P00012301	0.0029377	8.15E-04	3.6198	-0.64026	3.171	hsa-miR-30e-5p		
A_25_P00016849	0.0029377	8.50E-04	-3.6056	-0.67771	-2.9026	hsa-miR-4502		
A_25_P00018330	0.0029377	8.57E-04	-3.6027	-0.68534	-2.9059	hsa-miR-6807-5p		
A_25_P00018844	0.0029377	8.59E-04	-3.6018	-0.6877	-3.0675	hsa-miR-7107-3p		
A_25_P00013111	0.0029377	8.62E-04	-3.6009	-0.69014	-2.9079	hsa-miR-297		
A_25_P00017351	0.0029377	8.67E-04	-3.5989	-0.69537	-2.9102	hsa-miR-766-5p		
A_25_P00018801	0.0029377	8.69E-04	-3.5979	-0.69801	-2.9113	hsa-miR-6847-5p		
A_25_P00016186	0.0029377	8.69E-04	-3.5978	-0.69827	-2.9114	hsa-miR-3650		
A_25_P00018280	0.0029377	8.72E-04	-3.5966	-0.70131	-2.9127	hsa-miR-7850-5p		
A_25_P00017650	0.0029377	8.77E-04	-3.5948	-0.70611	-2.9148	hsa-miR-660-3p		
A_25_P00018040	0.0029377	8.78E-04	-3.5943	-0.70734	-2.9153	hsa-miR-6805-5p		
A_25_P00018278	0.0029377	8.87E-04	-3.5907	-0.71696	-2.9194	hsa-miR-6751-5p		
A_25_P00015442	0.0029377	8.92E-04	-3.589	-0.72131	-3.598	hsa-miR-670-5p		
A_25_P00016022	0.0029377	8.99E-04	-3.5862	-0.72867	-2.9243	hsa-miR-3689b-3p		
A_25_P00011965	0.0029377	9.02E-04	3.5849	-0.73221	2.4767	hsa-miR-766-3p		
A_25_P00016475	0.0029377	9.14E-04	-3.5804	-0.74383	-2.9307	hsa-miR-4793-3p		
A_25_P00010913	0.0029377	9.27E-04	-3.5756	-0.75662	-2.9006	hsa-miR-634		
A_25_P00011626	0.0029377	9.54E-04	-3.5656	-0.78286	-2.971	hsa-miR-586		
A_25_P00018265	0.0029377	9.97E-04	-3.5504	-0.82245	-2.963	hsa-miR-6856-5p		
A_25_P00013465	0.0029377	1.00E-03	-3.5479	-0.82917	-2.9657	hsa-miR-195-3p		
A_25_P00017875	0.0029377	1.01E-03	-3.5472	-0.83082	-2.7651	hsa-miR-6716-3p		
A_25_P00018034	0.0029377	1.02E-03	-3.5425	-0.84329	-2.9714	hsa-miR-6765-5p		
A_25_P00013143	0.0029377	1.04E-03	-3.535	-0.86264	-2.5119	hsa-miR-15a-3p		
A_25_P00012783	0.0029377	1.04E-03	-3.535	-0.86265	-2.5119	hsa-miR-548a-5p		
A_25_P00013027	0.0029377	1.04E-03	-3.5347	-0.86342	-2.5197	hsa-miR-301b-3p		
A_25_P00012023	0.0029377	1.04E-03	-3.5344	-0.86438	-2.5253	hsa-miR-32-5p		
A_25_P00012955	0.0029377	1.05E-03	-3.534	-0.86532	-2.5297	hsa-miR-875-5p		
A_25_P00011375	0.0029377	1.05E-03	-3.533	-0.86793	-2.5389	hsa-miR-649		
A_25_P00015068	0.0029377	1.05E-03	-3.5326	-0.86905	-2.5421	hsa-miR-1227-3p		
A_25_P00011597	0.0029377	1.05E-03	-3.5326	-0.86907	-2.5422	hsa-miR-609		
A_25_P00013063	0.0029377	1.05E-03	-3.5316	-0.87153	-2.5485	hsa-miR-933		
A_25_P00016661	0.0029377	1.06E-03	-3.5293	-0.87759	-2.5612	hsa-miR-4789-5p		
